Crm Cd,Vict Age,Vict Sex,Vict Descent
510,0,M,O
330,47,M,O
480,19,X,X
343,19,M,O
354,28,M,H
354,41,M,H
354,25,M,H
354,27,F,B
354,24,F,B
624,26,M,H
354,26,M,B
821,8,F,H
812,7,F,W
510,0,,
810,13,F,H
354,56,M,B
354,22,F,B
354,23,M,B
230,31,F,O
956,30,F,O
341,57,F,B
341,56,F,W
812,12,F,H
812,7,F,H
510,0,,
354,46,M,B
930,30,F,W
668,0,,
354,51,M,B
624,24,F,O
354,37,M,H
354,27,M,H
330,20,M,A
420,0,,
420,0,,
930,29,F,H
354,26,M,B
354,33,M,W
354,34,F,B
354,15,F,H
354,65,M,W
354,59,F,W
813,15,F,H
812,9,M,W
354,33,M,H
354,34,F,W
354,35,M,O
310,-2,X,X
354,50,M,B
354,28,F,B
903,37,M,W
341,64,M,H
354,79,M,B
354,40,F,H
354,59,M,O
420,0,,
440,27,M,W
354,44,M,O
354,32,F,H
354,16,M,H
354,22,F,B
354,21,M,W
341,0,X,X
626,42,F,H
440,15,F,H
330,34,F,W
354,46,F,H
354,46,F,H
762,6,M,B
441,72,F,H
354,28,F,H
354,23,M,B
310,44,F,H
354,35,M,B
812,10,F,W
354,60,F,B
420,0,,
354,32,F,H
354,36,F,B
354,72,F,B
930,25,M,W
510,0,,
420,0,,
330,18,F,H
956,27,F,B
331,27,F,O
354,29,F,B
812,9,F,H
354,41,F,O
354,44,F,W
956,17,F,W
626,25,F,B
813,5,F,H
330,36,M,H
510,0,,
354,18,M,B
354,39,M,C
210,62,M,H
662,32,M,O
420,0,,
354,26,F,H
626,29,F,H
354,56,F,H
354,24,M,H
330,32,M,H
354,25,M,W
662,44,M,H
354,30,F,B
510,0,,
354,42,M,H
420,0,,
354,58,F,W
354,30,M,B
354,51,M,H
354,63,M,W
860,29,M,W
236,59,F,A
820,14,F,H
812,12,F,H
812,12,F,H
661,30,F,W
354,71,F,W
810,14,F,H
354,42,F,B
354,69,F,O
930,49,F,W
354,26,F,O
354,63,M,H
354,41,M,W
354,57,M,B
354,24,F,O
901,15,F,H
354,36,M,B
354,29,M,H
442,22,F,W
812,5,F,H
354,22,M,W
740,26,M,H
354,38,M,W
812,13,F,H
354,61,M,B
354,33,F,A
341,63,M,K
354,28,M,O
946,-2,X,X
354,27,F,B
354,20,F,B
440,28,M,H
310,31,F,W
354,37,F,B
761,59,F,H
626,43,M,H
440,45,M,O
354,63,M,B
649,78,F,H
354,25,M,O
354,67,M,H
331,0,X,X
354,25,F,W
626,26,F,H
354,53,F,W
440,57,F,B
310,72,M,B
354,35,F,H
354,26,M,W
354,28,M,H
354,47,M,W
354,25,F,H
510,0,,
354,29,F,B
354,21,M,B
662,54,F,H
510,0,,
845,19,X,X
812,11,F,H
956,23,F,H
354,35,M,O
354,39,M,B
956,37,M,W
668,60,M,O
440,59,F,O
662,34,F,W
354,54,F,J
310,48,M,W
330,46,M,H
354,20,F,F
354,27,M,B
121,10,F,H
354,36,F,B
626,10,F,H
745,0,X,X
354,35,F,O
354,59,M,O
354,22,M,K
626,33,F,H
354,60,M,H
624,56,M,H
354,28,F,B
354,50,M,H
354,41,M,H
510,0,,
946,0,M,H
354,26,M,H
813,13,F,W
820,6,F,B
649,37,M,X
624,30,M,O
354,28,M,B
354,73,F,H
627,5,F,H
210,50,X,H
354,36,F,B
354,23,M,O
860,10,F,W
653,64,F,O
354,54,F,A
946,21,F,W
821,14,F,H
354,32,F,B
230,26,F,H
420,0,,
354,34,F,H
354,22,F,H
354,33,M,B
626,22,M,B
354,38,F,H
440,36,M,O
845,0,X,X
230,52,M,W
354,29,M,B
310,54,M,H
354,42,M,B
354,41,M,B
662,43,M,H
354,33,F,W
354,0,X,X
649,57,F,W
354,45,F,W
354,22,F,O
354,24,F,B
928,27,F,W
510,0,,
354,48,F,W
341,37,M,H
354,42,F,B
354,30,F,O
627,12,M,H
624,40,M,H
354,21,M,H
510,0,,
354,42,M,B
310,68,M,H
121,18,F,B
230,39,F,H
354,31,F,H
354,45,M,H
624,81,M,W
354,54,F,K
354,78,F,W
812,8,F,F
210,53,F,H
354,54,F,B
480,32,M,W
121,27,F,H
354,22,M,H
813,11,F,W
354,30,F,B
354,60,M,W
956,41,M,W
354,44,M,W
354,38,F,H
649,56,F,H
812,8,F,H
354,62,M,A
354,29,F,B
354,53,F,H
121,33,F,W
930,32,M,H
354,34,M,B
354,38,M,B
956,29,F,B
354,38,F,W
121,11,F,H
815,7,F,H
810,14,F,H
121,19,F,B
331,62,M,W
626,28,F,H
354,48,M,B
820,8,M,B
820,6,F,B
354,28,M,W
860,12,F,H
956,28,F,H
740,31,M,I
354,54,M,O
354,31,F,B
815,19,F,W
354,50,M,B
940,23,F,W
946,53,M,B
946,26,M,B
625,48,M,H
354,16,M,H
310,45,F,W
310,50,F,H
354,46,M,O
341,44,F,W
354,52,M,W
331,80,F,K
354,51,M,B
624,14,F,W
354,33,F,J
354,41,F,H
510,0,,
341,51,M,O
815,8,F,B
956,30,M,W
820,3,M,B
662,55,F,A
668,0,X,X
330,28,M,W
845,0,X,X
236,33,F,B
354,28,F,B
354,49,M,O
354,44,F,H
354,23,F,O
354,31,M,J
956,37,F,W
812,13,F,H
626,20,F,H
331,43,M,V
354,58,F,W
354,22,M,H
354,58,M,B
354,43,F,H
121,50,F,H
354,27,M,B
745,62,M,C
813,16,F,H
812,10,F,H
956,46,F,W
354,11,M,H
330,28,F,H
626,18,F,H
354,50,F,H
354,29,F,B
352,19,M,H
815,6,F,H
812,17,F,H
330,52,F,B
354,31,F,B
354,89,F,K
354,27,F,B
354,32,M,O
354,25,F,H
648,55,M,B
354,32,F,B
354,44,F,H
341,44,M,A
354,70,M,W
354,37,M,W
626,21,F,B
510,0,,
354,13,M,H
845,0,M,O
940,59,M,O
354,35,F,H
860,15,F,H
354,33,F,W
886,18,F,B
121,8,F,H
820,14,F,H
354,33,F,J
510,0,,
930,-2,M,W
330,53,M,H
354,32,F,H
354,35,M,H
354,36,M,B
354,54,F,F
310,27,M,W
666,59,M,W
956,52,F,H
662,77,M,O
354,58,M,H
668,61,M,W
921,22,F,B
354,31,F,H
930,18,F,H
510,0,,
956,46,M,W
121,23,F,B
310,54,F,H
354,32,M,B
626,50,F,W
930,56,F,W
354,41,M,W
354,37,M,O
420,0,,
820,7,F,H
354,37,M,O
440,42,F,B
330,32,M,B
354,56,M,A
845,0,X,X
354,60,M,W
354,29,M,H
354,26,F,S
354,29,M,O
236,35,F,W
510,0,,
354,48,F,W
354,23,M,H
510,0,,
331,42,F,H
354,22,F,H
354,47,M,B
354,30,F,H
341,43,F,H
813,10,F,H
354,51,F,B
354,33,M,H
442,42,M,W
740,52,F,B
354,57,F,H
310,41,M,W
121,12,F,W
932,26,F,H
352,28,F,H
420,0,,
341,32,F,W
624,52,F,K
354,41,M,W
810,12,F,H
354,20,M,W
624,14,M,H
354,32,M,O
845,0,X,X
354,53,M,A
354,24,F,H
354,31,M,B
354,83,F,O
354,31,F,B
440,65,M,O
354,91,F,W
480,32,M,W
354,47,M,B
354,40,F,B
510,0,,
341,82,F,W
354,31,M,H
354,25,M,B
354,39,M,O
354,54,F,H
900,28,F,H
649,0,M,W
331,30,M,W
354,33,F,B
440,52,M,W
420,0,,
354,58,F,H
354,56,F,B
354,52,M,O
354,47,M,W
930,49,M,B
668,0,,
956,36,M,B
820,14,F,H
668,19,X,X
354,75,M,H
354,19,F,B
121,18,F,H
354,23,M,B
354,42,M,O
341,37,M,H
354,21,M,H
946,34,F,W
352,34,F,H
956,30,F,W
649,56,F,H
354,59,M,H
946,13,F,O
956,24,F,B
662,49,F,H
815,39,F,H
354,72,F,W
354,40,F,W
440,31,F,W
745,30,M,B
420,0,,
510,0,,
354,33,M,B
354,36,F,W
810,16,F,H
627,5,M,H
354,32,M,W
354,42,M,B
354,36,M,W
510,0,,
310,68,M,W
761,23,F,B
745,54,M,H
812,7,M,H
420,0,,
354,28,F,O
649,75,F,O
354,55,F,W
121,16,F,W
354,49,F,W
354,49,F,B
354,37,M,O
668,0,,
354,29,F,O
354,34,M,B
510,0,,
354,28,F,B
354,39,M,B
956,0,X,X
121,13,F,H
341,0,M,X
354,70,F,W
662,54,M,B
354,40,M,B
354,41,F,O
354,22,F,H
354,59,M,O
354,23,M,B
354,53,M,B
903,30,F,W
510,0,,
745,31,F,H
310,48,M,H
812,9,F,H
626,22,M,H
236,21,M,H
354,33,M,W
510,0,,
310,53,M,W
354,62,M,W
310,48,F,W
956,13,F,H
354,34,F,B
354,60,M,O
354,36,M,H
236,16,F,W
354,25,F,W
354,19,M,B
354,33,M,H
354,33,M,W
354,31,M,B
812,16,M,O
354,40,M,W
330,33,M,H
354,27,F,B
956,34,M,W
668,0,X,X
627,10,F,B
624,23,F,H
354,76,M,H
354,30,F,B
354,50,F,F
121,31,F,W
354,56,M,H
510,0,,
341,74,M,W
354,43,M,B
354,20,F,O
354,44,F,O
354,46,M,H
354,42,F,W
354,41,M,H
354,24,F,H
900,43,M,H
354,31,M,B
626,34,F,O
886,56,M,W
354,30,F,B
901,30,F,O
813,11,F,H
956,35,F,H
354,-1,M,W
354,22,F,B
845,0,M,O
930,37,F,W
354,65,M,H
354,25,M,B
354,52,F,V
420,0,,
956,13,F,W
236,23,F,F
354,45,F,W
815,13,F,W
354,31,M,H
510,0,,
310,-1,X,X
626,33,F,W
354,44,M,W
354,28,F,H
121,30,F,W
420,0,,
626,35,M,A
440,48,F,B
740,50,M,O
310,38,M,W
341,37,M,O
354,25,F,W
354,46,M,W
354,69,M,W
354,26,M,O
354,45,M,W
813,10,F,H
121,16,F,H
510,0,,
310,52,M,W
354,33,M,B
354,52,M,W
662,65,F,W
845,-1,X,X
354,61,M,O
354,16,F,B
510,0,,
354,35,F,W
810,14,F,O
354,36,F,H
812,3,M,H
439,40,F,H
956,21,F,B
354,32,M,H
442,-1,X,X
354,31,F,H
354,56,F,H
354,38,M,W
121,62,F,B
815,8,F,W
860,11,F,H
624,22,M,H
901,26,F,H
354,23,M,B
121,22,F,H
354,27,M,H
510,0,,
354,59,F,H
626,38,F,B
354,30,F,B
354,22,M,O
354,65,F,B
354,52,F,W
354,26,F,B
354,41,F,H
624,32,M,W
668,0,,
860,22,M,W
354,25,F,W
812,11,F,H
354,29,F,W
354,34,M,H
354,21,M,B
354,71,F,B
354,47,M,W
900,31,F,H
354,29,F,B
121,32,F,O
354,31,M,H
354,48,F,H
930,48,F,H
354,51,F,H
354,70,F,B
354,36,F,B
354,20,M,O
354,27,M,W
510,0,,
354,23,F,H
354,38,M,H
510,0,,
121,53,F,H
354,20,M,B
354,48,F,H
354,41,M,W
330,60,M,H
653,42,M,H
440,20,F,H
341,-2,M,W
354,72,M,H
354,32,M,O
668,0,X,X
812,2,M,B
354,43,F,H
354,21,M,H
121,38,F,H
810,14,F,W
354,44,F,W
354,58,F,W
440,52,M,W
354,22,F,B
420,0,,
886,59,F,W
354,48,F,B
354,24,M,B
740,45,M,W
236,40,F,H
341,58,F,W
236,29,F,H
510,0,,
845,0,X,X
354,36,F,B
354,23,F,H
354,45,F,W
341,0,M,W
626,25,F,O
354,25,M,O
354,47,F,W
812,6,F,H
354,52,M,W
354,37,M,W
354,66,M,W
956,42,F,H
354,34,M,W
812,8,F,B
662,59,F,H
354,42,F,H
815,2,F,B
354,47,M,H
954,13,F,B
354,52,F,W
354,55,M,B
627,5,M,B
420,0,,
900,71,F,B
354,17,M,H
354,36,F,B
354,37,F,W
354,58,F,H
740,62,M,C
331,26,M,B
236,45,F,O
354,26,F,H
354,36,F,B
354,49,M,H
354,54,F,H
354,44,M,W
668,70,M,W
354,54,M,B
354,37,F,B
956,45,M,H
354,53,F,B
354,55,M,B
354,52,M,W
354,27,M,O
354,50,F,W
627,3,F,H
354,33,F,H
121,36,F,H
354,23,F,B
330,57,F,B
956,30,F,A
745,36,M,W
354,21,F,B
860,16,F,H
354,28,M,H
626,35,F,B
354,33,F,K
860,8,F,O
745,-1,X,X
940,21,M,H
354,40,M,W
440,22,M,W
354,45,M,B
354,53,M,O
354,43,M,W
354,43,F,H
627,14,F,O
354,41,F,B
310,65,F,O
354,30,F,H
668,0,,
662,50,F,A
626,33,F,H
121,15,F,B
626,30,M,O
341,36,M,B
354,26,F,B
354,35,F,B
354,38,M,H
354,38,M,O
812,12,F,H
354,41,M,H
354,46,F,H
626,20,F,H
354,39,M,H
812,11,F,H
354,44,M,B
956,25,M,H
341,70,M,W
354,75,F,H
121,41,F,W
354,37,M,H
310,36,M,O
434,59,F,W
354,-2,M,W
666,60,F,H
860,16,M,O
354,46,F,A
649,57,M,A
354,31,F,B
956,28,F,B
121,10,F,H
510,0,,
354,59,M,H
354,31,F,O
354,29,M,B
626,23,F,H
354,47,F,W
354,77,M,B
354,34,M,B
956,51,M,O
354,32,M,B
354,31,M,H
354,30,F,B
354,-1,M,W
354,72,F,W
354,39,M,B
330,27,F,H
354,30,F,H
354,25,M,H
341,53,M,W
510,0,,
440,22,F,W
354,26,M,B
330,29,F,H
510,0,,
354,50,M,H
354,34,M,W
354,54,F,W
354,37,M,A
354,45,F,B
812,14,M,W
420,30,F,O
354,34,F,K
354,22,M,V
354,34,F,K
354,44,M,H
420,0,,
845,0,X,X
354,33,M,W
649,64,M,O
354,24,F,B
812,10,F,H
354,65,F,W
354,33,F,W
662,67,F,F
354,48,M,H
354,28,F,H
627,12,M,H
354,33,F,B
510,0,,
354,55,F,B
354,25,M,W
956,38,F,H
354,27,F,H
812,7,F,H
624,28,M,H
440,53,M,W
354,23,M,B
354,61,F,H
354,51,M,H
354,50,M,B
815,12,F,H
510,0,,
815,8,F,H
354,39,M,B
354,24,F,B
354,30,M,B
354,44,F,W
354,64,M,B
624,30,M,A
810,14,F,X
354,51,F,H
812,14,F,H
440,46,F,P
354,19,M,B
354,68,M,W
740,27,M,O
956,57,F,W
354,31,F,H
354,51,M,H
354,25,M,W
510,0,,
627,13,F,H
354,28,F,O
354,57,F,W
354,61,M,B
354,28,M,H
354,53,M,H
354,29,M,B
354,42,F,O
310,64,F,W
354,18,M,H
354,26,F,B
354,21,F,W
354,20,F,B
815,25,F,H
354,67,M,H
510,0,,
331,54,F,H
354,31,F,W
354,70,M,W
662,66,M,B
352,52,M,B
354,24,M,W
662,38,M,A
354,57,M,A
626,42,F,H
510,0,,
236,31,F,H
354,24,F,B
354,56,M,W
354,28,F,B
235,13,F,H
354,23,F,W
354,62,F,W
354,41,F,B
440,32,M,O
354,29,M,B
354,25,F,H
220,47,M,O
420,0,,
649,71,F,H
310,-1,X,X
845,-1,X,X
121,28,F,A
230,29,M,H
121,15,F,H
668,0,,
354,50,F,H
354,19,F,B
661,49,F,B
740,45,F,H
354,30,F,H
354,36,F,B
354,44,F,W
956,41,M,W
440,62,F,W
354,44,F,H
341,81,F,H
510,0,,
354,28,F,O
354,25,F,H
354,42,F,H
810,13,F,B
654,84,F,H
235,4,F,A
330,40,F,W
310,69,M,W
661,13,F,W
330,51,M,H
354,29,F,B
956,19,F,W
236,27,F,W
330,45,M,W
648,42,F,H
956,0,X,X
845,0,X,X
354,55,F,F
354,38,M,O
845,-1,X,X
121,13,F,H
845,-1,X,X
354,60,M,W
354,41,M,B
354,22,F,P
354,32,F,H
354,64,M,X
624,46,F,H
354,31,F,B
442,0,X,X
354,32,M,W
354,27,M,O
821,24,M,H
354,55,F,W
354,34,F,B
354,17,F,B
740,24,F,B
354,24,M,B
354,58,M,H
812,12,F,H
510,0,,
626,21,F,A
354,30,M,K
354,27,F,B
310,51,F,H
354,68,M,K
354,0,M,O
922,44,M,O
354,61,M,W
354,53,F,A
649,63,F,W
354,21,F,W