DR_NO,Vict Age,Vict Sex,Vict Descent
201309918,0,X,X
200808185,0,X,X
202116237,0,X,X
201407132,0,X,X
200213879,63,M,W
201216692,0,X,X
200614773,0,X,X
200319306,19,X,X
202006611,0,X,X
210505348,0,X,X
210104599,0,X,X
210312307,36,M,O
211311240,23,F,H
211608365,0,M,O
211312016,0,X,X
211608370,0,M,X
210212709,0,M,W
211011095,0,M,W
210611230,0,X,X
221414195,25,F,W
220609095,0,M,O
220120450,0,X,X
231415125,21,M,X
221212468,0,X,X
220717413,0,X,X
221510989,23,F,W
241604013,0,X,X
240604490,0,X,X
230618559,57,F,H
240104710,0,X,X
230414032,47,M,O
230500775,39,M,H
230517385,0,X,X
231115631,0,X,X
230600555,0,X,X
230508655,87,M,H
231107773,26,M,H
230300679,22,X,X
231108093,26,M,H
240700646,0,X,X
241007152,0,M,W
201815548,34,F,B
200400922,42,F,H
201711219,37,F,W
200612588,67,F,O
200914590,56,F,B
201706495,27,F,H
200208133,28,F,H
202114241,26,M,W
202109696,40,F,O
201407453,57,F,W
201912478,44,F,A
201016127,67,F,H
202108902,27,F,H
200410505,55,F,H
201206885,32,F,H
200509604,31,F,H
200304317,27,F,B
201610437,44,F,H
201016417,20,F,H
201607943,45,F,B
200317319,61,F,B
201715833,0,F,H
201111737,30,F,A
201008100,31,F,O
202105439,28,F,W
200715172,54,F,W
200216196,0,X,X
200619097,32,F,O
200911798,34,M,W
201011819,49,F,H
200405459,20,F,H
201013666,41,F,O
202115513,42,F,O
202109695,62,F,O
201706686,49,F,H
201315036,38,F,H
202115924,37,M,W
200911308,26,F,W
201009612,37,F,H
201804546,53,F,B
201818784,32,F,H
200306290,40,F,H
201614652,50,F,H
202105487,66,F,W
201714494,39,F,H
200211615,25,F,H
201221205,18,F,H
201011497,48,F,W
201917798,54,F,H
201208082,42,F,B
200413124,64,F,H
201010767,54,F,O
202113609,33,F,H
200410184,25,F,H
200613047,37,M,W
201211073,50,F,H
201906998,49,M,X
200913797,33,F,H
201016407,0,X,X
201715394,22,F,H
200810829,68,M,W
201708984,47,F,O
200406234,44,M,H
201413548,60,M,B
200404475,33,F,H
201917298,53,F,H
201007501,22,F,O
201111829,23,F,H
201014026,59,M,H
201016164,39,F,H
200618440,35,F,B
202113223,71,M,H
201908239,31,F,H
201321126,41,F,H
201910505,34,F,H
201612631,44,F,H
201505491,43,F,B
201008109,31,F,O
200813492,50,M,O
202107735,55,F,H
201007883,31,F,W
201011894,51,F,H
201008769,49,F,H
201207432,46,F,H
200610529,31,F,H
202007392,74,F,A
201012605,45,F,W
201909173,20,F,B
202008391,48,M,H
202105219,66,F,W
201606863,70,F,W
200708848,24,M,W
201413555,28,F,W
202110419,61,M,W
201716073,30,F,H
200804892,25,F,W
200913761,22,F,H
201005195,35,F,H
201105293,42,F,W
202106065,57,M,B
201715173,51,M,W
201008770,8,M,H
201410821,57,M,B
201910777,28,M,H
201817317,25,F,H
200315040,44,F,W
201211490,27,F,B
201010643,71,M,W
202105999,36,F,H
201013730,37,F,H
201415400,34,F,H
201011943,51,F,H
201713955,36,F,H
200411881,2,M,H
201207774,43,F,H
201013497,63,M,H
202006182,43,F,H
201716568,37,F,W
200309964,39,M,H
201715230,35,F,H
200105139,65,F,H
201606519,30,M,W
200314776,52,F,W
200316615,66,F,B
201609558,32,F,H
200211809,66,F,H
201013109,59,F,W
201705843,30,F,B
201010949,33,F,W
202112704,32,M,B
201308754,51,F,H
201608318,68,F,B
200805991,45,M,W
200806398,64,F,W
202114168,34,F,B
200715415,44,M,W
200910961,45,F,O
200321184,72,F,B
201320833,65,F,W
200405511,45,F,H
201906743,28,M,H
201815297,25,F,H
201911975,35,F,W
200407981,61,F,H
202108903,50,F,H
202111756,63,M,O
200715609,14,F,B
201016128,37,F,H
201209207,38,F,H
202108904,20,F,H
202109697,41,M,O
201711768,26,F,H
202109379,44,F,W
211710805,24,F,W
212115300,60,F,W
211914046,66,M,H
210320632,33,F,H
211116674,35,F,W
211712567,65,F,W
212016640,53,F,W
211104767,24,F,W
211009834,47,F,H
212113640,43,F,H
211009590,65,F,W
211305802,22,M,H
210319305,40,F,B
211217093,60,M,B
211706407,58,F,O
211711604,35,F,H
211711455,37,F,W
212113873,33,F,W
211115744,65,F,H
212012166,87,F,H
211707934,50,F,O
211710085,33,F,O
210707752,40,M,B
211714500,35,M,W
212008760,44,F,B
210415395,72,F,H
210511763,64,F,H
212116387,36,F,W
212014782,73,M,A
210205652,30,F,H
211812217,39,F,B
211813525,37,F,H
212108390,32,F,W
211800769,26,F,H
212106185,31,F,B
210407807,29,M,H
211710386,34,F,W
210909724,60,M,W
212112689,44,F,H
211913212,35,M,H
211715317,47,F,H
210206345,36,F,B
211910375,38,F,H
211014925,33,F,W
211707424,47,F,W
212113998,30,F,H
211012418,33,F,W
211013121,22,F,B
212109689,36,F,H
212113014,49,F,W
211014993,0,M,W
210313226,46,F,B
210414349,25,F,H
211510413,38,F,W
211704144,30,F,H
211611243,55,F,B
211707836,44,F,A
212111729,20,F,H
210416257,21,M,H
211706760,43,F,W
211706783,37,F,H
210405649,36,F,H
211704297,24,M,W
212109464,19,F,O
211015906,0,M,W
211711548,81,M,W
210806513,26,F,W
210412525,45,F,H
211007820,33,F,W
211005040,58,F,W
210404435,46,F,H
211910423,32,M,H
211015161,51,F,W
210319221,52,F,B
210406359,38,F,H
212111906,35,F,W
211712513,0,F,H
211007917,48,F,O
211708459,19,F,H
210310037,32,F,B
210212790,27,F,B
212109894,59,F,H
211304617,59,F,H
210817587,63,M,W
211008774,57,F,H
211113464,62,M,X
211912673,51,F,H
212015578,51,M,H
210404175,28,F,H
210408390,36,F,H
212107565,45,F,H
211714255,25,F,W
212112513,62,F,W
210615511,21,F,H
211013293,72,M,O
211015502,55,M,W
210617785,62,M,O
210516915,34,F,B
210413100,60,F,H
212013467,31,M,B
210607466,34,M,H
211707019,47,F,H
211518424,59,F,W
212011806,37,M,O
211007154,0,X,X
210515382,45,F,H
211007089,39,F,B
211308530,51,M,H
211407364,50,F,B
211916250,51,F,H
211708323,62,M,O
210817423,46,F,W
212108829,51,F,H
211013273,34,F,H
211817720,40,M,B
210409113,55,F,H
211015019,41,F,A
211807556,45,F,H
210319220,66,M,B
210612208,45,F,H
211312577,48,F,H
210812557,56,M,W
212117675,30,F,H
211504384,49,F,W
211711756,45,M,B
212108785,26,M,W
211016135,28,M,B
210216356,59,F,H
211015008,10,M,W
210713735,37,F,W
212012142,87,F,H
211707396,46,F,B
211411289,31,F,H
211114113,52,F,H
211707859,72,F,H
211817663,12,F,H
211612837,60,F,H
210807405,51,M,O
211007238,38,F,W
211815210,23,F,H
210817593,53,M,W
211716176,37,F,H
210609172,38,M,B
222004005,52,F,H
211014041,35,F,W
212107032,70,F,W
211316530,32,M,H
211004290,37,F,H
211612217,50,F,O
211715832,31,M,W
211008787,49,M,W
212110897,64,F,W
211009714,9,M,W
212114641,43,F,W
211710622,44,M,W
212006820,43,F,H
210710215,53,M,W
212111837,35,F,W
211710729,27,F,H
211611367,43,F,H
212010287,25,F,H
210512511,28,F,H
210617273,53,M,H
211015209,50,F,H
212112435,30,F,W
212112351,79,F,W
211714907,81,M,W
211711551,50,F,H
210806565,38,F,H
211712849,23,F,H
210311535,74,F,B
211010490,26,F,H
211607689,75,M,W
211604244,33,F,H
210316754,39,M,H
210414125,54,F,H
210911566,26,F,H
212117615,43,F,W
211907760,17,F,H
210605709,34,M,W
211015920,47,M,O
211221873,33,F,H
210117064,54,F,B
211013382,47,M,O
211422868,43,F,A
212108405,59,F,W
211708919,58,F,O
212109463,51,F,B
211709625,42,F,H
211015031,51,F,W
212007774,52,M,H
212112894,44,F,O
212010100,25,F,H
212011526,37,F,K
212107031,73,M,B
212111922,38,F,W
211909016,36,M,H
210505014,42,F,H
210317997,34,F,H
212113064,44,F,W
211210646,80,F,B
212116212,20,F,B
210304019,53,F,W
212112512,62,F,W
211015468,38,F,W
210216166,45,F,W
221012375,32,F,H
211111853,23,F,H
211715717,58,F,O
211113880,21,F,A
210408320,31,M,H
210904823,39,M,H
211710176,62,F,W
212111562,38,F,H
212010111,34,F,W
211013779,32,F,W
211708125,47,F,W
210805192,45,F,W
211709940,26,F,H
221709672,38,M,O
221416916,64,F,W
221714278,34,F,O
222017250,32,M,A
221709669,0,F,W
220317017,24,F,H
220311406,39,M,H
220909807,26,F,H
221011062,55,M,W
221107061,89,F,W
221907081,56,M,H
221105355,29,F,H
221006669,37,F,O
222006597,29,M,O
221009401,74,M,W
220812821,51,F,W
221012423,24,M,W
221013085,51,F,H
221318119,32,F,B
221715015,82,M,W
221711129,37,F,O
222107234,50,F,B
221009936,65,M,W
221012385,38,F,A
221014118,57,F,H
221015891,45,F,O
220913761,24,M,H
220914226,57,F,H
220307186,23,F,H
220917835,30,F,H
220615883,37,M,W
221818681,28,F,B
220315596,39,F,B
221517359,38,M,W
221012111,39,F,W
221011438,55,M,W
221715427,46,M,B
221010345,34,F,W
221107055,38,M,W
221716979,28,F,W
222005886,43,F,H
222111057,58,M,H
222111770,29,F,W
222007721,43,F,H
221710246,34,F,O
220912427,29,F,H
221517358,31,F,H
220910337,61,M,O
220910849,50,M,H
221117557,74,F,H
221709670,68,M,O
220713435,41,F,W
222007659,28,F,H
220913963,19,F,H
221805775,41,F,H
221715476,83,F,W
220126591,68,M,B
221709582,68,F,W
221705583,53,F,W
221704940,29,F,W
221709634,62,M,H
222111979,31,F,O
221716545,51,F,W
220807328,39,F,A
221916328,43,F,O
222018125,28,M,B
220616746,46,F,W
221225626,29,F,B
221305409,21,F,H
220106785,24,M,W
221711075,0,M,W
221708866,62,M,W
221713350,48,M,B
221504178,27,M,W
221709490,39,F,O
221313469,33,M,H
221715473,46,F,O
221707006,78,M,W
222010942,25,F,H
222114419,40,F,H
220612944,33,F,O
220812107,33,F,A
220312010,28,F,B
221916040,49,F,H
221711977,25,F,W
221715794,37,F,A
221005078,29,F,A
221005276,35,F,H
221517378,17,F,O
220316486,44,F,B
221709778,79,F,W
220907860,34,F,H
221816462,50,M,H
220118597,25,F,B
222112894,35,F,H
221013784,80,F,W
221908213,47,M,H
221007000,50,M,H
221700718,81,M,W
220205059,27,F,B
220304600,40,F,H
221309932,43,F,B
222118234,38,F,O
220218654,47,M,H
220306150,27,M,H
220717892,76,F,O
221018218,67,M,A
220209463,48,F,H
221712543,40,F,O
221009167,20,F,H
221011075,51,F,W
220218347,29,F,W
221711076,39,F,H
220311279,47,F,H
222112998,46,F,B
221208987,51,M,B
221708118,50,F,H
221715727,46,M,B
221712671,65,M,A
221807746,48,M,H
221316507,42,M,H
220909035,33,M,H
221707295,42,F,O
221010622,29,F,H
220209587,36,F,H
221004834,28,M,W
221018156,27,F,H
221710546,58,M,H
220506024,40,F,H
221008229,36,F,O
220105518,25,F,B
221709671,38,F,O
220318533,43,F,H
221008475,45,F,W
221714476,33,F,H
222105353,41,F,O
221322855,76,M,B
221005789,50,F,W
221710849,39,F,W
221712603,44,F,B
221708364,29,F,O
221712136,38,M,W
220411367,78,F,H
221008921,28,F,H
220612869,56,M,W
220205125,34,F,O
221710846,22,F,H
222015061,26,F,B
221007622,16,F,H
221319245,27,M,H
222008290,64,M,A
221005077,51,F,A
220306883,21,F,W
220914511,57,F,H
220909498,34,F,H
222110697,34,F,W
221700604,81,M,W
221706646,19,F,A
222110395,44,F,O
221711259,73,F,H
220707786,34,M,H
220510235,37,F,H
221009623,65,M,W
220205866,68,F,H
221010790,67,F,H
221713424,50,F,W
220314924,32,M,B
221807732,0,F,H
221712203,60,F,W
220205865,70,M,H
221006746,36,F,H
221713426,42,F,H
221323134,74,F,H
221009673,71,F,O
222015949,69,F,O
221011174,51,F,W
220312519,32,M,B
220219765,36,F,H
221011199,35,F,H
221708012,30,F,W
220220199,21,M,O
221710572,44,F,H
222008207,64,M,K
222113267,35,F,B
220411998,34,F,W
221012117,39,F,W
221009697,65,M,W
221214896,48,F,H
220915961,35,F,O
221713428,50,F,W
221013970,39,F,H
220307689,62,F,H
221005766,29,F,H
220314936,18,F,H
221010657,40,M,W
221006917,55,M,O
221008316,38,F,H
221710547,60,F,W
221708694,53,F,B
220916701,45,F,H
220409092,28,F,H
220218060,54,F,W
221222527,26,M,H
220210763,38,F,B
221319556,36,F,H
221012760,31,F,H
222116704,33,M,H
220407770,44,M,H
221010664,55,M,O
221807745,28,F,H
220411931,78,F,H
220210779,33,F,H
221907392,26,F,H
221800685,16,F,H
221301102,43,F,H
221705133,46,F,A
220219430,26,F,H
221915529,63,F,W
222005885,43,F,H
221007216,44,F,W
222013786,40,F,H
220308629,34,F,B
222013623,33,F,H
220312011,66,F,B
222018745,57,F,H
221509062,37,F,O
221013954,35,F,H
221223477,41,F,H
221614659,29,F,H
221006216,28,F,H
221310554,38,F,B
220513448,35,F,B
221813232,73,F,H
221709600,32,M,H
220218272,26,F,B
220220198,54,F,O
231406389,43,F,H
230317576,49,M,H
231308127,0,F,H
231517699,37,M,O
230210884,31,F,H
232008902,30,M,H
231614714,20,F,H
231110179,43,F,W
230612815,22,F,B
230412960,0,F,H
231104510,34,F,H
231812684,41,F,H
230211201,39,F,H
231609767,31,F,A
230911688,29,M,H
231912026,55,F,H
230314299,22,F,H
230115540,40,F,H
231519480,51,F,H
231613409,22,F,H
231111870,28,M,H
231708376,52,F,W
231917423,37,F,H
231516326,48,F,H
231305410,69,F,H
232108187,40,F,H
231111369,42,F,W
231614143,53,F,O
230307117,39,F,H
231808171,38,F,B
231008146,30,M,H
231711564,37,M,W
231709199,26,F,H
231612692,19,F,H
230516151,67,M,W
231016696,38,M,W
231519454,51,M,H
231613910,31,F,O
231815012,45,F,B
230516414,16,F,H
230912960,37,F,W
231611824,72,M,W
230607956,54,F,B
230317663,18,M,W
232113471,44,M,O
231712724,48,F,B
231615304,44,F,O
231312131,29,F,H
231516993,28,F,H
231319325,44,F,H
230407478,56,M,B
231713630,48,F,H
231519203,38,M,W
230119409,53,M,H
230904768,55,M,W
231708379,23,F,H
231007534,60,F,B
231612706,90,F,H
231607595,48,M,H
230816092,0,M,X
231609912,36,F,W
231517946,63,F,H
231516480,56,F,H
230612169,35,F,H
232013512,28,F,H
231905066,57,F,H
231317152,27,M,W
231904954,58,F,W
232104626,40,F,H
231916995,37,F,H
231107216,34,F,B
230317521,27,F,H
232115820,64,F,O
230214532,21,F,H
232107479,81,F,H
231615079,40,M,H
230512325,46,F,H
231713455,63,F,W
232012920,52,M,W
231612752,90,F,H
231104509,70,M,W
231008047,40,F,H
231909183,28,F,W
231005304,33,F,W
231515940,42,F,H
230517182,33,F,A
231014038,10,M,W
231715164,28,F,H
230301092,38,F,H
231306183,24,F,B
230404883,54,M,H
231517949,38,F,H
231317214,30,F,H
231110519,43,F,W
230508134,45,F,H
231916994,63,F,H
230319328,65,F,B
230218147,0,F,H
231517691,41,M,H
232113009,39,F,H
232006809,0,F,W
230604077,29,F,H
230406612,36,F,H
231013203,43,F,H
231708373,25,F,H
232010275,26,F,H
231812728,41,F,H
231011052,36,F,W
231017711,40,F,H
232018613,40,F,H
230401522,25,F,H
231608287,60,F,W
231608289,82,F,W
231516678,42,F,H
231318385,46,F,H
231808757,34,F,B
232113108,25,F,W
230205052,58,M,H
231510771,44,F,O
230219884,29,M,B
232104113,34,F,A
231604230,26,F,H
232113033,60,F,H
231716314,52,F,W
231014459,46,F,A
231704071,56,X,X
231713433,19,F,W
231310079,35,F,H
231614625,19,F,H
230908116,35,M,B
231314662,47,F,H
231714551,83,M,W
231311157,88,M,H
230409311,63,F,H
232112616,46,M,B
231819491,55,F,B
231607586,62,M,H
231811037,26,F,H
231609072,30,F,H
230914948,30,F,H
231713955,83,M,W
231116603,19,F,H
231818373,70,M,B
231017623,49,F,H
231708408,39,M,O
231713629,20,F,H
230511112,23,M,B
230219885,31,F,H
231613027,54,F,H
231713400,51,F,W
230405751,34,F,H
231711663,45,F,O
231519444,26,F,B
231810134,49,F,B
231010982,73,M,H
231704060,45,F,W
231708400,54,F,O
231314433,47,F,H
230414092,59,F,H
231519460,49,M,H
230904481,99,F,O
230410776,35,F,H
230126178,26,F,W
232112542,64,F,H
230916150,67,M,W
230708610,78,X,O
230318982,38,F,B
232106560,40,F,O
231008975,65,M,O
230506390,0,X,X
231614760,38,F,W
231611666,61,M,W
230908661,32,M,B
231715086,24,F,A
230204067,61,F,B
231517566,28,F,O
230412959,0,F,H
230125112,26,F,W
231908276,25,M,H
231111078,28,M,B
231517120,39,F,O
232007397,61,F,H
230413502,32,F,H
230911475,64,M,H
231516679,38,M,W
231814352,32,F,B
230512612,0,F,W
230317039,26,F,A
231708375,35,F,H
231705504,25,F,H
231705198,56,M,W
230209595,35,F,H
231812794,80,F,H
231316013,12,M,H
231014010,51,F,H
231014517,25,M,O
231014643,50,M,O
231612643,36,F,H
231014456,25,M,O
231905211,59,F,B
231010957,45,F,A
231604140,42,F,H
231316011,4,M,H
231224967,26,F,H
231017621,39,F,O
231311103,36,F,H
232111190,32,F,H
232111397,77,M,O
230215159,34,F,W
231012366,35,F,H
231014069,25,F,B
232111705,30,F,H
231006057,60,F,W
231517690,11,F,H
232112954,44,M,W
231807032,89,F,B
230507651,43,F,H
230405297,62,F,H
230410059,62,F,W
231810210,0,M,H
232011695,39,F,H
231612044,42,F,H
231605461,26,F,H
231812733,44,F,H
231000656,60,F,H
232112504,46,M,B
232004799,49,F,H
232116171,40,F,W
231109760,50,M,W
231716317,30,F,H
230612928,20,M,B
231016699,17,M,H
231607333,0,F,H
231806049,58,F,H
231704401,56,M,W
230321702,28,F,H
231111514,68,F,H
231804644,72,F,B
230314308,22,F,H
231006097,60,F,B
231314435,47,F,H
241604422,24,F,B
232113064,25,F,W
231015110,41,M,O
231609979,43,M,H
230405594,62,F,W
230405838,44,F,H
230314318,49,F,H
230204282,57,M,H
230410022,64,M,H
231913577,73,F,H
231609658,62,M,W
231015940,60,F,W
231316012,15,F,H
231607590,29,F,H
231605864,35,F,H
231516752,38,M,W
231514146,51,M,H
231225592,26,F,B
231517565,28,F,W
230222877,40,F,H
231011111,37,F,W
230912775,37,F,O
231314663,8,F,H
231605341,59,F,H
231701287,58,F,W
231904585,33,F,H
231611786,36,F,H
241904192,44,F,H
241905052,33,F,H
242109046,34,M,O
240205671,28,F,H
241509776,44,M,O
241608142,42,F,H
241908406,57,F,H
242104695,45,F,H
240309995,38,M,B
241404334,69,M,W
242108727,45,F,H
241508092,54,M,W
241606778,20,F,H
241607462,54,F,O
242004324,22,M,B
242107167,27,M,H
242007745,40,M,W
242004608,22,M,B
241905663,23,F,H
241508513,30,F,H
241605638,28,F,H
240905757,22,M,O
241506594,26,F,W
241807606,60,M,W
241106656,24,M,W
241608137,21,F,H
241305264,23,F,H
240307898,78,F,H
241105740,30,M,H
240606283,38,F,H
241906291,45,F,H
241606839,42,F,H
242106912,27,M,H
241807102,19,F,H
241905424,35,F,H
241908471,47,F,H
241904838,35,F,H
241508885,30,F,H
240806947,39,F,O
241805629,54,F,H
240104128,56,M,A
241608136,21,F,H
240704755,23,F,H
241506147,40,M,W
241006547,68,F,W
241805875,28,F,H
221905982,15,F,H
240904134,30,F,O
222111399,26,F,H
200514277,46,F,H
202112082,29,F,W
200304583,37,F,B
201908081,25,F,H
200414791,37,F,H
201711086,24,F,B
201916638,44,F,H
200322320,39,F,H
201006193,23,F,H
201909009,62,M,H
201812021,25,F,H
201810544,27,F,H
200308248,29,F,B
211404170,38,F,O
200404677,35,F,H
202106717,45,F,H
201305831,0,M,H
200320020,25,M,B
200319949,28,F,H
201213840,72,F,B
202018808,52,M,W
200204264,33,F,H
201710702,31,F,H
200512437,30,F,W
201913416,40,F,H
201917995,29,F,H
201812213,61,F,H
201806390,26,F,H
200514316,34,F,W
211904009,48,F,H
201808921,59,F,B
201907729,58,F,H
201812672,37,F,H
